,Unnamed: 0,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
55,55,10.0,C,38.403381,-120.531689,6,20020809,20020810,6009.0,20020809,0,0,0,0,0.43010882,0
56,56,0.5,B,38.041464,-120.691317,6,20060623,20060623,6009.0,20060623,0,0,0,0,1.7613912,0
57,57,0.1,A,38.170389,-120.547231,6,20040329,20040329,6009.0,20040329,0,0,0,0,2.0840623,0
58,58,2.0,B,38.199981,-120.862761,6,19990513,19990513,6009.0,19990513,0,0,0,0,4.1725900000000005,0
59,59,0.1,A,38.42833333,-120.08555556,6,20080621,20080622,6009.0,20080621,0,0,0,0,1.9037945,0
60,60,0.1,A,38.041561,-120.534411,6,20030804,20030804,6009.0,20030804,0,0,0,0,3.05369,0
61,61,1.5,B,38.224519,-120.514242,6,20050713,20050713,6009.0,20050713,0,0,0,0,1.8384737,0
62,62,20.0,C,38.199769,-120.769361,6,20030924,20030925,6009.0,20030924,0,0,0,0,2.1002152,0
63,63,0.1,A,38.271989,-120.509769,6,20031122,20031122,6009.0,20031122,0,0,0,0,2.1497138,0
64,64,0.1,A,38.122569,-120.450417,6,20051008,20051008,6009.0,20051008,0,0,0,0,2.9824107000000004,0
65,65,0.1,A,38.224417,-120.855444,6,20070112,20070112,6009.0,20070112,0,0,0,0,4.5758953,0
66,66,0.2,A,38.1987,-120.583811,6,20000106,20000106,6009.0,20000106,0,0,0,0,3.1324816,0
67,67,1.0,B,38.02805,-120.479039,6,20021022,20021022,6009.0,20021022,0,0,0,0,1.2423455,0
68,68,0.1,A,38.142389,-120.457881,6,20010527,20010527,6009.0,20010527,0,0,0,0,2.2631853,0
69,69,0.2,A,38.140869,-120.63925,6,19990517,19990517,6009.0,19990517,0,0,0,0,2.285276,0
70,70,5.0,B,38.243431,-120.436911,6,20021125,20021126,6009.0,20021125,0,0,0,0,4.579182,0
71,71,13.0,C,38.139153,-120.551492,6,20070715,20070715,6009.0,20070715,0,0,0,0,2.5821333,0
72,72,0.1,A,38.415642,-120.493125,6,20060720,20060720,6009.0,20060720,0,0,0,0,1.8806697,0
73,73,0.2,A,38.257731,-120.491019,6,20030601,20030601,6009.0,20030601,0,0,0,0,2.0343637,0
74,74,0.1,A,38.128089,-120.421369,6,20040429,20040429,6009.0,20040429,0,0,0,0,2.5504932,0
75,75,4.0,B,38.2331,-120.8661,6,20050906,20050906,6009.0,20050906,0,0,0,0,1.1065316,0
76,76,0.5,B,38.316431,-120.416631,6,19990902,19990902,6009.0,19990902,0,0,0,0,2.3503466,0
77,77,0.1,A,38.113411,-120.475731,6,20030729,20030729,6009.0,20030729,0,0,0,0,2.2561,0
78,78,0.3,B,38.306478,-120.50745,6,20050703,20050703,6009.0,20050703,0,0,0,0,2.850164,0
79,79,0.1,A,38.200461,-120.456111,6,20001019,20001019,6009.0,20001019,0,0,0,0,0.86093074,0
80,80,0.1,A,38.38875,-120.531881,6,20030708,20030708,6009.0,20030708,0,0,0,0,2.4365458,0
81,81,12.0,C,38.0275,-120.5164,6,20050910,20050910,6009.0,20050910,0,0,0,0,3.0421736,0
82,82,0.1,A,38.239089,-120.546461,6,20051118,20051118,6009.0,20051118,0,0,0,0,3.826322,0
83,83,12.0,C,38.0272,-120.534339,6,20050613,20050613,6009.0,20050613,0,0,0,0,1.4284288,0
84,84,3.0,B,37.923719,-120.624319,6,19990603,19990603,6009.0,19990603,0,0,0,0,3.6240315,0
85,85,0.8,B,38.37305,-120.456781,6,20010910,20010910,6009.0,20010910,0,0,0,0,1.1260544,0
86,86,2.0,B,38.229419,-120.862881,6,20010807,20010807,6009.0,20010807,0,0,0,0,1.36474,0
87,87,0.1,A,38.1997,-120.713539,6,19990604,19990604,6009.0,19990604,0,0,0,0,3.8295825,0
88,88,1.0,B,38.387919,-120.58645,6,20020724,20020724,6009.0,20020724,0,0,0,0,1.4165052,0
89,89,0.1,A,38.1706,-120.787381,6,20010630,20010630,6009.0,20010630,0,0,0,0,2.0916338,0
90,90,0.1,A,38.275,-120.35666667,6,20060626,20060626,6009.0,20060626,0,0,0,0,1.7128348000000002,0
91,91,0.1,A,38.041458,-120.506222,6,20071117,20071117,6009.0,20071117,0,0,0,0,1.2815967,0
92,92,1.0,B,38.042781,-120.4605,6,20000719,20000719,6009.0,20000719,0,0,0,0,2.9649265,0
93,93,0.1,A,38.397636,-120.528197,6,20070925,20070925,6009.0,20070925,0,0,0,0,1.7582369999999998,0
94,94,1.0,B,38.445939,-120.493781,6,19990524,19990524,6009.0,19990524,0,0,0,0,3.3575368,0
95,95,0.1,A,38.2859,-120.603081,6,20000824,20000824,6009.0,20000824,0,0,0,0,0.8222565000000001,0
96,96,0.1,A,38.14275,-120.439581,6,20020729,20020729,6009.0,20020729,0,0,0,0,2.7009742,0
97,97,0.4,B,38.273719,-120.454661,6,20040429,20040429,6009.0,20040429,0,0,0,0,2.5504932,0
98,98,1.0,B,38.069589,-120.49395,6,20000716,20000716,6009.0,20000716,0,0,0,0,3.4071195,0
99,99,0.1,A,38.011739,-120.533981,6,20020803,20020803,6009.0,20020803,0,0,0,0,3.0358572,0
100,100,1.0,B,38.069319,-120.530761,6,20030905,20030905,6009.0,20030905,0,0,0,0,1.4932613,0
