,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
9855,0.3,B,39.381931,-121.0308,6,20030914,20030914,6057.0,20030914,221,66,142,0,0,75.25
9856,0.1,A,39.155364,-121.063997,6,20050729,20050729,6057.0,20050729,244,113,174,0,0,85.5
9857,0.1,A,39.229375,-121.063661,6,20050406,20050406,6057.0,20050406,151,22,68,51,0,116.0
9858,0.1,A,39.306825,-121.161856,6,20060929,20060929,6057.0,20060929,223,51,127,0,0,62.75
9859,0.1,A,39.43333333,-120.82222222,6,20090806,20090807,6057.0,20090806,100,18,45,25,0,90.25
9860,0.5,B,39.050561,-121.129469,6,19990522,19990522,6057.0,19990522,140,35,85,0,0,167.25
9861,1.0,B,39.108381,-121.112419,6,19990726,19990726,6057.0,19990726,224,73,150,0,0,82.75
9862,0.1,A,39.380219,-120.973039,6,19990521,19990521,6057.0,19990521,152,22,80,0,0,167.25
9863,1.0,B,39.320392,-121.023389,6,20070117,20070117,6057.0,20070117,8,-72,-44,0,0,76.25
9864,0.1,A,39.203861,-121.139011,6,20030926,20030926,6057.0,20030926,237,110,160,0,0,66.0
9865,0.1,A,39.317053,-120.980492,6,20060810,20060810,6057.0,20060810,218,67,139,0,0,71.5
9866,0.25,A,39.40583333,-120.13472222,6,20071124,20071125,6057.0,20071124,144,-18,36,0,0,80.25
9867,0.5,B,39.365769,-120.8978,6,19990729,19990729,6057.0,19990729,224,99,140,0,0,82.75
9868,0.1,A,39.109119,-121.075981,6,20040830,20040830,6057.0,20040830,259,94,170,25,0,61.0
9869,0.1,A,39.283867,-120.966969,6,20060727,20060727,6057.0,20060727,270,106,181,0,0,95.5
9870,0.5,B,39.293161,-121.104269,6,20030206,20030206,6057.0,20030206,-57,-134,-104,0,0,83.75
9871,0.1,A,39.2317,-121.1411,6,20090804,20090804,6057.0,20090804,213,85,143,0,0,90.25
9872,0.5,B,39.365489,-120.9921,6,19990725,19990725,6057.0,19990725,219,79,142,0,0,82.75
9873,0.1,A,39.222711,-120.898181,6,19990801,19990801,6057.0,19990801,205,69,135,0,0,82.75
9874,2.0,B,39.23685,-120.861289,6,20030206,20030206,6057.0,20030206,-57,-134,-104,0,0,83.75
9875,0.1,A,39.155364,-121.063997,6,20050729,20050729,6057.0,20050729,244,113,174,0,0,85.5
