,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
43,43,43,43,0.1,A,33.83735,-117.217389,6,19990111,19990111,6065.0,19990111,222.0,67.0,144.0,0.0,0.99859226,66.0
44,44,44,44,0.1,A,33.925039,-117.042819,6,19990418,19990418,6065.0,19990418,372.0,172.0,272.0,0.0,1.9525625,66.667
45,45,45,45,0.1,A,33.765619,-116.225381,6,20031127,20031127,6065.0,20031127,222.0,17.0,122.0,0.0,4.9406443,71.0
46,46,46,46,0.1,A,33.803211,-117.128111,6,20070612,20070612,6065.0,20070612,406.0,294.0,350.0,0.0,2.5178187000000003,67.077
47,47,47,47,0.5,B,33.61955,-117.2668,6,20061003,20061003,6065.0,20061003,406.0,294.0,350.0,0.0,2.426707,71.5
48,48,48,48,0.1,A,33.663369,-116.312561,6,20041009,20041009,6065.0,20041009,294.0,117.0,206.0,0.0,2.8349502,56.0
49,49,49,49,0.1,A,33.919506,-117.103764,6,20070616,20070616,6065.0,20070616,406.0,294.0,350.0,0.0,3.7737143,67.077
50,50,50,50,0.1,A,34.011639,-117.462469,6,20041009,20041009,6065.0,20041009,294.0,117.0,206.0,0.0,2.8349502,56.0
51,51,51,51,0.1,A,33.96865,-116.50145,6,19990508,19990508,6065.0,19990508,322.0,183.0,256.0,0.0,4.2571616,108.667
52,52,52,52,0.2,A,33.728633,-116.398256,6,20071123,20071123,6065.0,20071123,406.0,294.0,350.0,0.0,4.9436207,51.0
53,53,53,53,0.75,B,33.82777778,-117.57555556,6,20090805,20090805,6065.0,20090805,406.0,294.0,350.0,0.0,3.2418137,88.0
54,54,54,54,0.1,A,33.959819,-116.490378,6,20071123,20071123,6065.0,20071123,406.0,294.0,350.0,0.0,4.9436207,51.0
55,55,55,55,0.1,A,33.7589,-117.2842,6,20060917,20060917,6065.0,20060917,406.0,294.0,350.0,0.0,4.151731,67.5
56,56,56,56,0.1,A,33.910939,-116.675919,6,19990507,19990507,6065.0,19990507,278.0,100.0,189.0,0.0,3.4645982,108.667
57,57,57,57,0.1,A,33.8958,-116.4092,6,20041204,20041205,6065.0,20041204,167.0,44.0,106.0,0.0,2.1170175,82.0
58,58,58,58,0.2,A,33.6926,-117.093431,6,19990502,19990502,6065.0,19990502,300.0,139.0,222.0,0.0,4.520894,66.667
59,59,59,59,0.1,A,33.708431,-117.338381,6,20060923,20060923,6065.0,20060923,406.0,294.0,350.0,0.0,5.869303,67.5
60,60,60,60,0.1,A,33.668336,-116.309781,6,20070927,20070927,6065.0,20070927,406.0,294.0,350.0,0.0,0.2594164,54.333
61,61,61,61,1.0,B,33.662397,-117.298533,6,20070930,20070930,6065.0,20070930,406.0,294.0,350.0,0.0,2.903871,54.333
62,62,62,62,0.1,A,33.725897,-116.201647,6,20070616,20070616,6065.0,20070616,406.0,294.0,350.0,0.0,3.7737143,67.077
63,63,63,63,0.1,A,33.4631,-116.779781,6,20041203,20041203,6065.0,20041203,200.0,17.0,111.0,0.0,5.7219734,82.0
64,64,64,64,0.1,A,33.779019,-117.304461,6,20031119,20031119,6065.0,20031119,267.0,106.0,189.0,0.0,2.298884,71.0
65,65,65,65,0.1,A,33.8812,-116.501869,6,19990417,19990417,6065.0,19990417,367.0,56.0,211.0,0.0,1.2619447,66.667
66,66,66,66,0.25,A,33.56583333,-116.48416667,6,20060923,20060923,6065.0,20060923,406.0,294.0,350.0,0.0,5.869303,67.5
67,67,67,67,0.1,A,33.77955,-116.536889,6,19990116,19990116,6065.0,19990116,189.0,44.0,117.0,0.0,3.0808504,66.0
68,68,68,68,0.1,A,33.779014,-117.3319,6,20070616,20070616,6065.0,20070616,406.0,294.0,350.0,0.0,3.7737143,67.077
69,69,69,69,0.1,A,33.764581,-117.284119,6,19990503,19990503,6065.0,19990503,172.0,111.0,144.0,0.0,7.8900055999999985,66.667
70,70,70,70,0.1,A,33.706969,-115.404889,6,20041011,20041011,6065.0,20041011,350.0,133.0,244.0,0.0,1.7272165000000002,56.0
71,71,71,71,0.1,A,34.011569,-117.48,6,20050325,20050325,6065.0,20050325,244.0,117.0,183.0,0.0,3.2224376,136.0
72,72,72,72,0.1,A,33.6925,-117.110769,6,20031123,20031123,6065.0,20031123,206.0,61.0,133.0,0.0,4.398558,71.0
73,73,73,73,0.1,A,33.692939,-116.086369,6,20031104,20031104,6065.0,20031104,217.0,44.0,133.0,0.0,0.7452493,59.0
74,74,74,74,0.1,A,33.750989,-115.335361,6,20041218,20041218,6065.0,20041218,261.0,44.0,156.0,0.0,5.374103,101.5
75,75,75,75,0.1,A,33.664269,-115.843261,6,19990415,19990415,6065.0,19990415,328.0,194.0,261.0,0.0,6.026375,66.667
76,76,76,76,0.1,A,33.8812,-116.501869,6,20041114,20041114,6065.0,20041114,233.0,67.0,150.0,3.0,5.092359,82.0
77,77,77,77,0.1,A,33.83666667,-117.60833333,6,20070614,20070614,6065.0,20070614,406.0,294.0,350.0,0.0,3.1936338,67.077
78,78,78,78,0.1,A,34.1214,-116.8967,6,20050101,20050101,6065.0,20050101,178.0,72.0,128.0,0.0,1.1686816,101.5
79,79,79,79,0.1,A,33.605011,-117.266889,6,20031025,20031025,6065.0,20031025,344.0,100.0,222.0,0.0,6.400106,59.0
80,80,80,80,0.1,A,33.749511,-117.279728,6,20070614,20070614,6065.0,20070614,406.0,294.0,350.0,0.0,3.1936338,67.077
81,81,81,81,0.1,A,33.95405,-116.466319,6,20050101,20050101,6065.0,20050101,178.0,72.0,128.0,0.0,1.1686816,101.5
82,82,82,82,2.0,B,33.505631,-116.258619,6,19990407,19990407,6065.0,19990407,133.0,61.0,100.0,84.0,2.5793805,66.667
83,83,83,83,0.1,A,33.620089,-116.2594,6,20050102,20050102,6065.0,20050102,122.0,39.0,83.0,3.0,1.9547868,101.5
