FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE
0.25,A,38.62861111,-119.78777778,6,20060710,20060711,6003.0,20060710
30.0,C,38.58305556,-119.93083333,6,20070828,20070909,6003.0,20070828
0.25,A,38.76583333,-119.88777778,6,20050728,20050730,6003.0,20050728
0.1,A,38.69472222,-119.79333333,6,20051025,20051025,6003.0,20051025
0.1,A,38.54166667,-119.855,6,20080626,20080627,6003.0,20080626
0.1,A,38.59083333,-119.81083333,6,20040703,20040703,6003.0,20040703
2.0,B,38.53638889,-119.69833333,6,20060711,20060712,6003.0,20060711
0.1,A,38.66555556,-119.73305556,6,20091002,20091002,6003.0,20091002
30.0,C,38.45027778,-119.61805556,6,20060807,20061005,6003.0,20060807
1.0,B,38.76972222,-119.83194444,6,20040426,20040426,6003.0,20040426
9.0,B,38.83027778,-119.77027778,6,20070307,20070307,6003.0,20070307
0.1,A,38.7903,-119.7525,6,20051009,20051009,6003.0,20051009
0.1,A,38.79083333,-119.85972222,6,20050728,20050729,6003.0,20050728
0.1,A,38.6457,-119.6407,6,19990811,19990811,6003.0,19990811
0.25,A,38.54611111,-119.69666667,6,20040820,20040821,6003.0,20040820
0.1,A,38.75055556,-119.985,6,20000801,20000802,6003.0,20000801
0.1,A,38.62083333,-119.79361111,6,20040703,20040703,6003.0,20040703
0.2,A,38.54055556,-119.89416667,6,20060804,20060805,6003.0,20060804
0.1,A,38.75055556,-119.985,6,20000801,20000802,6003.0,20000801
20.0,C,38.80666667,-119.74333333,6,20060819,20060820,6003.0,20060819
0.1,A,38.69555556,-119.93611111,6,20040723,20040723,6003.0,20040723
2.0,B,38.44416667,-119.61944444,6,20060805,20060919,6003.0,20060805
0.1,A,38.7031,-119.7628,6,20090912,20090912,6003.0,20090912
0.25,A,38.69277778,-119.67055556,6,20070531,20070601,6003.0,20070531
0.25,A,38.67833333,-119.94888889,6,20040723,20040724,6003.0,20040723
0.01,A,38.44722222,-120.07111111,6,20081115,20081116,6003.0,20081115
0.25,A,38.65861111,-119.75138889,6,20050728,20050728,6003.0,20050728
0.1,A,38.64444444,-119.78833333,6,20060708,20060709,6003.0,20060708
0.25,A,38.72083333,-119.935,6,20040723,20040724,6003.0,20040723
0.1,A,38.67138889,-119.9225,6,20060805,20060805,6003.0,20060805
0.1,A,38.7331,-119.9514,6,20060708,20060709,6003.0,20060708
0.1,A,38.8019,-119.7625,6,20060808,20060808,6003.0,20060808
5.5,B,38.78805556,-119.80166667,6,20070707,20070708,6003.0,20070707
0.1,A,38.5975,-119.82638889,6,20060708,20060713,6003.0,20060708
580.0,E,38.8069,-119.83,6,20050709,20050712,6003.0,20050709
0.1,A,38.61777778,-119.72611111,6,20070531,20070601,6003.0,20070531
0.1,A,38.67055556,-119.70861111,6,20090621,20090621,6003.0,20090621
0.5,B,38.7903,-119.7517,6,20050930,20050930,6003.0,20050930
0.4,B,38.45333333,-120.04083333,6,20071108,20071108,6003.0,20071108
0.1,A,38.66861111,-119.96305556,6,20050927,20050927,6003.0,20050927
0.1,A,38.73027778,-119.79,6,20070810,20070810,6003.0,20070810
30.0,C,38.87972222,-119.84972222,6,20060623,20060625,6003.0,20060623
0.01,A,38.44666667,-119.97694444,6,20090814,20090814,6003.0,20090814
0.7999999999999999,A,38.79944444,-119.82222222,6,20040812,20040813,6003.0,20040812
0.1,A,38.71305556,-119.93194444,6,20070801,20070801,6003.0,20070801
0.1,A,38.61944444,-119.89611111,6,20060701,20060701,6003.0,20060701
0.1,A,38.74583333,-119.76638889,6,20040607,20040607,6003.0,20040607
0.1,A,38.74777778,-119.72027778,6,20071030,20071030,6003.0,20071030
2.0,B,38.59583333,-119.71138889,6,20080716,20080718,6003.0,20080716
0.1,A,38.48666667,-119.96916667,6,20090811,20090811,6003.0,20090811
0.1,A,38.74305556,-119.72555556,6,20040813,20040813,6003.0,20040813
0.1,A,38.47083333,-120.02138889,6,20060722,20060722,6003.0,20060722
0.1,A,38.74805556,-119.93944444,6,20050814,20050814,6003.0,20050814
0.25,A,38.775,-119.82388889,6,20061226,20061226,6003.0,20061226
12.2,C,38.53611111,-119.65833333,6,20040813,20040816,6003.0,20040813
0.1,A,38.45222222,-119.5775,6,20060702,20060704,6003.0,20060702
5.0,B,38.51333333,-119.98861111,6,20060927,20060927,6003.0,20060927
0.1,A,38.81388889,-119.76888889,6,20080325,20080325,6003.0,20080325
0.1,A,38.61166667,-119.93888889,6,20060722,20060722,6003.0,20060722
0.1,A,38.68527778,-119.92666667,6,20070711,20070712,6003.0,20070711
0.1,A,38.69972222,-119.66944444,6,20040812,20040813,6003.0,20040812
5.0,B,38.7572,-119.7742,6,20061110,20061111,6003.0,20061110
0.1,A,38.7225,-119.7911,6,20070609,20070609,6003.0,20070609
0.25,A,38.66805556,-119.95,6,20060629,20060702,6003.0,20060629
0.1,A,38.51805556,-119.90555556,6,20061024,20061024,6003.0,20061024
0.01,A,38.44222222,-120.00916667,6,20080925,20080925,6003.0,20080925
0.2,A,38.58166667,-119.63888889,6,20040623,20040624,6003.0,20040623
0.1,A,38.81888889,-119.75027778,6,20060508,20060508,6003.0,20060508
0.25,A,38.59361111,-119.63166667,6,20040623,20040624,6003.0,20040623
0.01,A,38.70916667,-120.01638889,6,20070711,20070711,6003.0,20070711
0.25,A,38.705,-119.82388889,6,20050816,20050816,6003.0,20050816
0.1,A,38.79638889,-119.7925,6,20080331,20080331,6003.0,20080331
0.1,A,38.72222222,-119.97388889,6,20040625,20040626,6003.0,20040625
0.3,B,38.72,-119.69555556,6,20090526,20090527,6003.0,20090526
0.5,A,38.56833333,-119.72166667,6,20080717,20080718,6003.0,20080717
0.1,A,38.7275,-119.7678,6,20080929,20080929,6003.0,20080929
0.1,A,38.77694444,-119.71166667,6,20040812,20040812,6003.0,20040812
0.1,A,38.69722222,-119.77361111,6,20090815,20090815,6003.0,20090815
0.1,A,38.70805556,-119.86583333,6,20061013,20061014,6003.0,20061013
0.1,A,38.7575,-119.73027778,6,20040812,20040813,6003.0,20040812
0.1,A,38.49111111,-120.05388889,6,20060701,20060701,6003.0,20060701
0.1,A,38.69722222,-119.69222222,6,20040813,20040813,6003.0,20040813
0.1,A,38.74611111,-119.91777778,6,20040627,20040627,6003.0,20040627
0.1,A,38.54333333,-119.59333333,6,20080817,20080906,6003.0,20080817
0.1,A,38.50444444,-119.99194444,6,20060721,20060722,6003.0,20060721
0.1,A,38.47472222,-119.96638889,6,20060628,20060628,6003.0,20060628
0.3,B,38.8,-119.74083333,6,20060704,20060705,6003.0,20060704
0.1,A,38.81333333,-119.80527778,6,20060623,20060623,6003.0,20060623
0.35,A,38.47416667,-120.05638889,6,20060721,20060721,6003.0,20060721
0.1,A,38.79305556,-119.80361111,6,20081015,20081015,6003.0,20081015
0.1,A,38.4825,-119.78583333,6,20060918,20060919,6003.0,20060918
0.1,A,38.453436,-121.017169,6,20060701,20060701,6005.0,20060701
0.3,B,38.505439,-120.91735,6,20010726,20010726,6005.0,20010726
0.2,A,38.444456,-120.519467,6,20050730,20050730,6005.0,20050730
1.0,B,38.432019,-120.641789,6,20010819,20010819,6005.0,20010819
0.1,A,38.417869,-120.604689,6,20040524,20040524,6005.0,20040524
80.0,C,38.250786,-120.905508,6,20060710,20060711,6005.0,20060710
0.1,A,38.402931,-120.642089,6,20021107,20021107,6005.0,20021107
0.1,A,38.431719,-120.679,6,20010818,20010818,6005.0,20010818
0.1,A,38.47555,-120.548839,6,20020611,20020611,6005.0,20020611
0.1,A,38.47555,-120.548839,6,20020610,20020610,6005.0,20020610
0.1,A,38.460489,-120.660481,6,19990525,19990525,6005.0,19990525
0.1,A,38.445181,-120.714961,6,19981102,19981102,6005.0,19981102
0.5,B,38.258889,-120.881661,6,19990806,19990806,6005.0,19990806
1.0,B,38.432481,-120.585989,6,20020903,20020903,6005.0,20020903
0.1,A,38.63333333,-120.14027778,6,20071030,20071030,6005.0,20071030
