,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
545,545,545,6354,0.1,A,40.503489,-120.7392,6,20010515,20010515,6035.0,20010515,68,34,53,0,4.460724400000001,206.0
546,546,546,6355,0.1,A,39.89777778,-120.48083333,6,20070730,20070730,6035.0,20070730,262,124,191,0,2.2840505,137.0
547,547,547,6356,0.1,A,40.6669,-120.443,6,20080817,20080817,6035.0,20080817,275,140,204,0,0.704914,116.0
548,548,548,6357,0.1,A,40.0292,-120.0608,6,20090528,20090530,6035.0,20090528,204,42,106,0,0.7891748000000001,218.0
549,549,549,6358,1.0,B,40.31395,-120.483869,6,20030723,20030723,6035.0,20030723,348,156,225,279,1.7117209999999998,151.0
550,550,550,6359,0.1,A,40.4732,-120.5544,6,20000526,20000526,6035.0,20000526,202,46,132,0,2.7333696,203.0
551,551,551,6360,170.5,A,41.01412,-120.38925,6,19990804,19990805,6035.0,19990804,311,78,194,15,0.64381695,103.0
552,552,552,6361,0.5,B,40.9282,-120.5111,6,20030710,20030710,6035.0,20030710,252,94,162,0,3.0485501,155.0
553,553,553,6362,4828.1,B,40.86656,-120.00771,6,19990804,19990808,6035.0,19990804,311,78,194,15,0.64381695,103.0
554,554,554,6363,0.1,A,40.3367,-120.485,6,20051014,20051014,6035.0,20051014,210,28,118,0,2.4957519,109.0
555,555,555,6364,273.5,B,40.86678,-120.13478,6,19990804,19990804,6035.0,19990804,311,78,194,15,0.64381695,103.0
556,556,556,6365,0.3,A,40.9249,-120.32773,6,19990805,19990805,6035.0,19990805,223,41,134,0,1.9815394,103.0
557,557,557,6366,0.1,A,41.08656,-120.33273,6,19990806,19990806,6035.0,19990806,178,56,117,104,2.7297132,103.0
558,558,558,6367,0.1,A,40.956231,-120.788656,6,20070830,20070903,6035.0,20070830,248,90,152,51,2.6800296,136.0
559,559,559,6368,0.1,A,40.75005,-120.4023,6,19990806,19990806,6035.0,19990806,178,56,117,104,2.7297132,103.0
560,560,560,6369,11.2,C,41.64823,-120.04605,6,19990804,19990805,6035.0,19990804,311,78,194,15,0.64381695,103.0
561,561,561,6370,1349.0,F,39.91,-120.0133,6,20090715,20090724,6035.0,20090715,275,31,172,0,1.0547605,139.0
562,562,562,6371,2.0,B,41.072861,-120.884181,6,19990727,19990727,6035.0,19990727,250,83,173,0,2.7946615,103.0
563,563,563,6372,1.0,B,40.4149,-120.6711,6,20050702,20050702,6035.0,20050702,211,72,141,0,2.1023853,141.0
564,564,564,6373,1.5,B,40.0199,-120.121,6,20020620,20020620,6035.0,20020620,244,106,159,0,1.5489583,94.0
565,565,565,6374,0.1,A,39.8144,-120.0333,6,20090715,20090715,6035.0,20090715,275,31,172,0,1.0547605,139.0
566,566,566,6375,0.2,A,40.8967,-120.2967,6,20070830,20070830,6035.0,20070830,248,90,152,51,2.6800296,136.0
567,567,567,6376,2.0,B,40.4113,-120.7286,6,20040429,20040429,6035.0,20040429,153,-29,65,0,2.3584952,202.0
568,568,568,6377,4.5,B,40.8106,-120.1783,6,20070830,20070902,6035.0,20070830,248,90,152,51,2.6800296,136.0
569,569,569,6378,1.0,B,40.12324,-120.13938,6,19990731,19990731,6035.0,19990731,226,55,138,0,1.7789001,103.0
570,570,570,6379,0.1,A,40.882061,-120.893081,6,19990806,19990806,6035.0,19990806,178,56,117,104,2.7297132,103.0
571,571,571,6380,0.1,A,40.912722,-121.075731,6,20070830,20070830,6035.0,20070830,248,90,152,51,2.6800296,136.0
572,572,572,6381,1.0,B,40.0199,-120.13938,6,19990802,19990802,6035.0,19990802,255,60,153,0,3.7417178,103.0
573,573,573,6382,0.1,A,40.8192,-120.0764,6,20070830,20070901,6035.0,20070830,248,90,152,51,2.6800296,136.0
574,574,574,6383,1.0,B,40.19138889,-120.39972222,6,20080422,20080422,6035.0,20080422,101,-33,18,25,2.731466,184.0
575,575,575,6384,3.0,B,40.64804,-120.26021,6,20020614,20020614,6035.0,20020614,294,83,189,0,3.0675714,159.0
576,576,576,6385,2.3000000000000003,A,40.927389,-120.979661,6,19990804,19990805,6035.0,19990804,311,78,194,15,0.64381695,103.0
577,577,577,6386,2.0,B,40.343336,-120.484264,6,20070630,20070630,6035.0,20070630,194,31,113,0,1.2119786,118.0
