,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
1846,0.1,A,38.649819,-120.938639,6,20020523,20020523,6017.0,20020523,110,-2,46,0,3.000831,154.0
1847,0.5,B,38.932581,-120.904211,6,20030714,20030714,6017.0,20030714,248,112,171,0,3.8503308,102.0
1848,0.1,A,38.69285,-120.975361,6,20030820,20030820,6017.0,20030820,226,129,174,0,1.4024693,83.0
1849,0.1,A,38.809244,-120.932917,6,20071007,20071007,6017.0,20071007,140,-29,44,0,1.2323893,86.25
1850,22.0,C,38.841661,-121.015247,6,20060714,20060714,6017.0,20060714,240,122,172,0,2.455697,94.75
1851,0.1,A,38.790331,-120.886681,6,20000810,20000810,6017.0,20000810,165,37,106,0,3.2617192000000004,81.0
1852,0.1,A,38.919019,-120.904689,6,20040407,20040407,6017.0,20040407,113,18,63,0,2.803715,206.0
1853,0.1,A,38.914381,-120.938592,6,20070324,20070324,6017.0,20070324,131,40,76,0,1.3901311,103.0
1854,0.01,A,38.85194444,-120.07027778,6,20060806,20060806,6017.0,20060806,205,49,121,0,3.7529993,79.0
1855,0.1,A,38.81755,-120.867431,6,19980705,19980705,6017.0,19980705,227,40,132,0,2.0255637,128.0
1856,0.1,A,38.905,-120.55138889,6,20040909,20040909,6017.0,20040909,213,46,115,0,2.0404341,68.0
1857,0.3,B,38.69285,-120.975361,6,20040331,20040331,6017.0,20040331,128,-6,61,0,4.2127604000000005,211.0
1858,0.5,B,38.758639,-120.771531,6,20030810,20030810,6017.0,20030810,267,33,150,0,2.3360012,83.0
1859,1.0,B,38.748364,-120.617356,6,20071116,20071116,6017.0,20071116,148,5,58,0,0.9533596,74.0
1860,0.1,A,38.69444444,-120.20111111,6,20090628,20090628,6017.0,20090628,248,141,186,0,1.8961524,78.75
1861,0.1,A,38.70027778,-120.50083333,6,20060715,20060715,6017.0,20060715,248,45,151,0,2.4544678,94.75
1862,0.1,A,38.632881,-120.639731,6,20040403,20040403,6017.0,20040403,136,-24,41,0,1.747256,211.0
1863,0.1,A,38.757861,-120.608219,6,20040909,20040909,6017.0,20040909,213,46,115,0,2.0404341,68.0
1864,0.3,B,38.7736,-120.8314,6,20020518,20020518,6017.0,20020518,200,50,128,0,2.6319056,175.0
1865,3.0,B,38.590531,-120.750731,6,20010825,20010825,6017.0,20010825,294,33,167,0,2.9282753,70.0
1866,0.1,A,38.90111111,-120.03333333,6,20020519,20020519,6017.0,20020519,144,22,83,8,3.5484414,175.0
1867,0.3,B,38.794581,-121.034925,6,20051116,20051116,6017.0,20051116,140,16,72,0,3.612111,69.0
1868,0.2,A,38.821564,-121.000611,6,20060715,20060715,6017.0,20060715,248,45,151,0,2.4544678,94.75
1869,0.1,A,38.846839,-120.849019,6,20040404,20040404,6017.0,20040404,119,-17,32,0,2.5767057,211.0
1870,0.3,B,38.734061,-120.602381,6,19990831,19990831,6017.0,19990831,176,-43,54,0,4.60336,80.0
