,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
226,226,226,226,226,226,226,226,226,8419,0.1,A,41.45222222,-120.91861111,6,20060627,20060627,6049.0,20060627,290,76,174,0,2.1891627,155.667
227,227,227,227,227,227,227,227,227,8420,3.8,A,41.2,-120.5858,6,20060701,20060701,6049.0,20060701,251,94,167,0,0.81689084,139.0
228,228,228,228,228,228,228,228,228,8421,53.7,C,41.35111111,-121.01916667,6,20060630,20060706,6049.0,20060630,252,45,155,0,0.4767614000000001,139.0
229,229,229,229,229,229,229,229,229,8422,5.0,B,41.65,-120.50027778,6,20060729,20060730,6049.0,20060729,267,92,184,0,3.2381740000000003,111.333
230,230,230,230,230,230,230,230,230,8423,0.1,A,41.18583333,-120.15027778,6,20060731,20060731,6049.0,20060731,203,15,120,0,2.1225667,111.333
231,231,231,231,231,231,231,231,231,8424,47.5,B,41.26666667,-121.01805556,6,20060630,20060701,6049.0,20060630,252,45,155,0,0.4767614000000001,139.0
232,232,232,232,232,232,232,232,232,8425,1.5,B,41.38388889,-121.05138889,6,20060627,20060629,6049.0,20060627,290,76,174,0,2.1891627,155.667
233,233,233,233,233,233,233,233,233,8426,0.1,A,41.63583333,-120.74111111,6,20070710,20070724,6049.0,20070710,348,120,233,0,1.8911407,77.5
234,234,234,234,234,234,234,234,234,8427,19.6,C,41.2075,-120.28666667,6,20070830,20070831,6049.0,20070830,298,112,207,0,2.6800296,49.0
235,235,235,235,235,235,235,235,235,8428,0.2,A,41.552381,-120.534711,6,19970309,19970312,6049.0,19970309,99,-45,18,0,1.4001473,111.667
236,236,236,236,236,236,236,236,236,8429,0.1,A,41.98722222,-120.84777778,6,20080926,20080926,6049.0,20080926,181,28,106,0,1.1101806,71.5
237,237,237,237,237,237,237,237,237,8430,0.1,A,41.97222222,-120.57138889,6,20090531,20090604,6049.0,20090531,231,79,141,51,0.92347,150.0
238,238,238,238,238,238,238,238,238,8431,1.5,B,41.3634,-120.669319,6,20000315,20000315,6049.0,20000315,68,-81,-9,0,1.0881089,128.0
