,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
174,174,174,3334,0.1,A,37.37555556,-119.14972222,6,20080713,20080714,6019.0,20080713,400,239,322,0,2.6227417,23.0
175,175,175,3335,1.0,B,36.216989,-120.293081,6,20051008,20051008,6019.0,20051008,400,239,322,0,2.9824107000000004,73.5
176,176,176,3336,0.2,A,37.13305556,-118.94972222,6,20080713,20080715,6019.0,20080713,400,239,322,0,2.6227417,23.0
177,177,177,3337,3.0,B,36.289131,-120.310669,6,19980712,19980712,6019.0,19980712,361,183,272,0,1.4138299,132.75
178,178,178,3338,0.25,A,36.7175,-119.01833333,6,20090806,20090806,6019.0,20090806,400,239,322,0,2.6027737,78.25
179,179,179,3339,7.0,B,37.032539,-119.649069,6,19980711,19980712,6019.0,19980711,333,156,244,0,1.6834522,132.75
180,180,180,3340,0.1,A,36.738475,-119.123342,6,20070830,20070830,6019.0,20070830,400,239,322,0,0.68542576,60.5
181,181,181,3341,0.1,A,36.800181,-119.384711,6,20000120,20000120,6019.0,20000120,161,111,139,5,0.6435165,88.0
182,182,182,3342,1187.0,F,36.61237,-119.25773,6,19990422,19990423,6019.0,19990422,228,100,167,0,4.3009143,96.286
183,183,183,3343,0.1,A,37.37027778,-119.17027778,6,20070710,20070710,6019.0,20070710,400,239,322,0,1.806243,95.5
184,184,184,3344,0.2,A,36.90722222,-118.99611111,6,20060724,20060725,6019.0,20060724,400,239,322,0,2.2726467,99.5
185,185,185,3345,6.5,B,36.274769,-120.310569,6,20020605,20020605,6019.0,20020605,383,200,294,0,1.7605073,138.571
186,186,186,3346,2.0,B,36.820289,-119.369731,6,20050704,20050704,6019.0,20050704,372,189,283,0,2.604329,109.5
187,187,187,3347,0.2,A,36.210342,-120.4211,6,20051020,20051020,6019.0,20051020,400,239,322,0,0.9013819,77.25
188,188,188,3348,0.2,A,36.495381,-120.559631,6,20020820,20020820,6019.0,20020820,322,139,233,0,2.693129,70.25
189,189,189,3349,14.0,C,36.97361111,-119.33638889,6,20060923,20060923,6019.0,20060923,400,239,322,0,3.1598053,6.0
190,190,190,3350,0.3,B,37.05916667,-119.22722222,6,20060724,20060725,6019.0,20060724,400,239,322,0,2.2726467,99.5
191,191,191,3351,3.0,B,36.172969,-120.452631,6,20040531,20040531,6019.0,20040531,356,167,261,0,2.2940094,105.0
192,192,192,3352,400.0,E,36.24565,-120.346289,6,20020609,20020610,6019.0,20020609,289,133,211,0,4.076182,138.571
193,193,193,3353,0.1,A,37.018139,-119.631061,6,19980719,19980719,6019.0,19980719,417,250,333,0,1.6527655,122.0
194,194,194,3354,0.3,B,36.90388889,-119.01333333,6,20070830,20070830,6019.0,20070830,400,239,322,0,0.68542576,60.5
195,195,195,3355,0.1,A,37.0163,-119.429869,6,20000315,20000315,6019.0,20000315,233,111,172,0,2.0858624,110.5
196,196,196,3356,1.0,B,37.01475,-119.60745,6,20060809,20060809,6019.0,20060809,400,239,322,0,0.4301212,84.5
197,197,197,3357,1.0,B,36.081939,-120.4806,6,20070830,20070830,6019.0,20070830,400,239,322,0,0.68542576,60.5
198,198,198,3358,0.25,A,36.74722222,-118.84833333,6,20060724,20060724,6019.0,20060724,400,239,322,0,2.2726467,99.5
199,199,199,3359,0.1,A,37.07833333,-119.1825,6,20090701,20090702,6019.0,20090701,400,239,322,0,2.30009,119.5
200,200,200,3360,0.6,B,36.813011,-119.331139,6,19990826,19990826,6019.0,19990826,333,228,283,0,1.0296056,77.0
201,201,201,3361,1.0,B,36.92083333,-118.83527778,6,20071101,20071205,6019.0,20071101,400,239,322,0,1.5148591,13.0
202,202,202,3362,1.0,B,36.712208,-119.134956,6,20051211,20051211,6019.0,20051211,400,239,322,0,2.8270752,87.5
203,203,203,3363,0.01,A,37.10388889,-119.16972222,6,20060730,20060730,6019.0,20060730,400,239,322,0,3.1143692,99.5
204,204,204,3364,0.2,A,37.30833333,-118.96277778,6,20060805,20060809,6019.0,20060805,400,239,322,0,2.2205656000000005,84.5
205,205,205,3365,0.1,A,36.76444444,-118.89166667,6,20070708,20070708,6019.0,20070708,400,239,322,0,2.193379,95.5
206,206,206,3366,0.1,A,36.743683,-119.037136,6,20070610,20070610,6019.0,20070610,400,239,322,0,3.0959566,143.25
207,207,207,3367,0.1,A,37.32527778,-119.16916667,6,20071030,20071101,6019.0,20071030,400,239,322,0,1.6980497,13.0
208,208,208,3368,0.1,A,36.582039,-120.666931,6,20040625,20040625,6019.0,20040625,344,161,256,0,3.2070203,99.75
209,209,209,3369,8.0,B,36.319189,-120.491769,6,19990923,19990924,6019.0,19990923,333,167,250,0,0.47000122,64.5
210,210,210,3370,0.1,A,37.29944444,-119.05444444,6,20071030,20071101,6019.0,20071030,400,239,322,0,1.6980497,13.0
211,211,211,3371,3.4,B,37.37083333,-119.02777778,6,20071031,20071031,6019.0,20071031,400,239,322,0,1.2384704,13.0
212,212,212,3372,3.0,B,36.088939,-120.445761,6,20020908,20020908,6019.0,20020908,294,122,211,0,1.5754703,62.5
213,213,213,3373,0.1,A,36.088839,-120.463769,6,20021005,20021005,6019.0,20021005,300,117,211,0,1.2175287,61.0
214,214,214,3374,2.0,B,36.304469,-120.311089,6,19980904,19980904,6019.0,19980904,311,239,278,0,1.0111887,79.0
215,215,215,3375,0.1,A,36.088839,-120.463769,6,20021007,20021007,6019.0,20021007,328,156,244,0,2.2536404,61.0
216,216,216,3376,294.0,D,36.259761,-120.499,6,19980902,19980904,6019.0,19980902,394,250,322,0,0.41617322,79.0
217,217,217,3377,0.1,A,37.32916667,-118.97333333,6,20060804,20060804,6019.0,20060804,400,239,322,0,1.8540068,84.5
218,218,218,3378,0.1,A,37.04555556,-119.31,6,20061021,20061021,6019.0,20061021,400,239,322,0,3.2262063,71.25
219,219,219,3379,0.2,A,37.33472222,-118.97444444,6,20060804,20060804,6019.0,20060804,400,239,322,0,1.8540068,84.5
220,220,220,3380,1.0,B,36.081939,-120.4806,6,20050820,20050820,6019.0,20050820,400,239,322,0,1.2649062,69.25
221,221,221,3381,0.1,A,37.16666667,-119.23055556,6,20071030,20071031,6019.0,20071030,400,239,322,0,1.6980497,13.0
222,222,222,3382,0.1,A,36.088839,-120.463769,6,20020913,20020913,6019.0,20020913,356,172,267,0,1.6601150000000002,86.0
223,223,223,3383,0.1,A,36.6388,-120.771581,6,19991001,19991001,6019.0,19991001,344,167,256,0,1.3257532,76.8
