,fips,county_name,state,to_generate,status,generated_row_count,file_name
124,39091,Logan County,OH,0,1.0,0.0,
125,39093,Lorain County,OH,0,1.0,0.0,
126,39095,Lucas County,OH,0,1.0,0.0,
127,39097,Madison County,OH,0,1.0,0.0,
128,39099,Mahoning County,OH,0,1.0,0.0,
129,39101,Marion County,OH,0,1.0,0.0,
130,39103,Medina County,OH,0,1.0,0.0,
131,39105,Meigs County,OH,0,1.0,0.0,
132,39107,Mercer County,OH,0,1.0,0.0,
133,39109,Miami County,OH,0,1.0,0.0,
134,39111,Monroe County,OH,0,1.0,0.0,
135,39113,Montgomery County,OH,0,1.0,0.0,
136,39115,Morgan County,OH,0,1.0,0.0,
137,39117,Morrow County,OH,0,1.0,0.0,
138,39119,Muskingum County,OH,0,1.0,0.0,
139,39121,Noble County,OH,0,1.0,0.0,
140,39123,Ottawa County,OH,0,1.0,0.0,
141,39125,Paulding County,OH,0,1.0,0.0,
142,39127,Perry County,OH,0,1.0,0.0,
143,39129,Pickaway County,OH,0,1.0,0.0,
144,39131,Pike County,OH,0,1.0,0.0,
145,39133,Portage County,OH,0,1.0,0.0,
146,39135,Preble County,OH,0,1.0,0.0,
147,39137,Putnam County,OH,0,1.0,0.0,
148,39139,Richland County,OH,0,1.0,0.0,
149,39141,Ross County,OH,0,1.0,0.0,
150,39143,Sandusky County,OH,0,1.0,0.0,
151,39145,Scioto County,OH,0,1.0,0.0,
152,39147,Seneca County,OH,0,1.0,0.0,
153,39149,Shelby County,OH,0,1.0,0.0,
154,39151,Stark County,OH,0,1.0,0.0,
155,39153,Summit County,OH,0,1.0,0.0,
156,39155,Trumbull County,OH,0,1.0,0.0,
157,39157,Tuscarawas County,OH,0,1.0,0.0,
158,39159,Union County,OH,0,1.0,0.0,
159,39161,Van Wert County,OH,0,1.0,0.0,
160,39163,Vinton County,OH,0,1.0,0.0,
161,39165,Warren County,OH,0,1.0,0.0,
162,39167,Washington County,OH,0,1.0,0.0,
163,39169,Wayne County,OH,0,1.0,0.0,
164,39171,Williams County,OH,0,1.0,0.0,
165,39173,Wood County,OH,0,1.0,0.0,
166,39175,Wyandot County,OH,0,1.0,0.0,
167,40000,OKLAHOMA,,0,1.0,0.0,
168,40001,Adair County,OK,0,1.0,0.0,
169,40003,Alfalfa County,OK,0,1.0,0.0,
170,40005,Atoka County,OK,0,1.0,0.0,
171,40007,Beaver County,OK,0,1.0,0.0,
172,40009,Beckham County,OK,0,1.0,0.0,
173,40011,Blaine County,OK,0,1.0,0.0,
174,40013,Bryan County,OK,0,1.0,0.0,
175,40015,Caddo County,OK,0,1.0,0.0,
176,40017,Canadian County,OK,0,1.0,0.0,
177,40019,Carter County,OK,0,1.0,0.0,
178,40021,Cherokee County,OK,0,1.0,0.0,
179,40023,Choctaw County,OK,0,1.0,0.0,
180,40025,Cimarron County,OK,0,1.0,0.0,
181,40027,Cleveland County,OK,0,1.0,0.0,
182,40029,Coal County,OK,0,1.0,0.0,
183,40031,Comanche County,OK,0,1.0,0.0,
184,40033,Cotton County,OK,0,1.0,0.0,
185,40035,Craig County,OK,0,1.0,0.0,
186,40037,Creek County,OK,0,1.0,0.0,
187,40039,Custer County,OK,0,1.0,0.0,
188,40041,Delaware County,OK,0,1.0,0.0,
189,40043,Dewey County,OK,0,1.0,0.0,
190,40045,Ellis County,OK,0,1.0,0.0,
191,40047,Garfield County,OK,0,1.0,0.0,
192,40049,Garvin County,OK,0,1.0,0.0,
193,40051,Grady County,OK,0,1.0,0.0,
194,40053,Grant County,OK,0,1.0,0.0,
195,40055,Greer County,OK,0,1.0,0.0,
196,40057,Harmon County,OK,0,1.0,0.0,
197,40059,Harper County,OK,0,1.0,0.0,
198,40061,Haskell County,OK,0,1.0,0.0,
199,40063,Hughes County,OK,0,1.0,0.0,
200,40065,Jackson County,OK,0,1.0,0.0,
201,40067,Jefferson County,OK,0,1.0,0.0,
202,40069,Johnston County,OK,0,1.0,0.0,
203,40071,Kay County,OK,0,1.0,0.0,
204,40073,Kingfisher County,OK,0,1.0,0.0,
205,40075,Kiowa County,OK,0,1.0,0.0,
206,40077,Latimer County,OK,0,1.0,0.0,
207,40079,Le Flore County,OK,0,1.0,0.0,
208,40081,Lincoln County,OK,0,1.0,0.0,
209,40083,Logan County,OK,0,1.0,0.0,
210,40085,Love County,OK,0,1.0,0.0,
211,40087,McClain County,OK,0,1.0,0.0,
212,40089,McCurtain County,OK,0,1.0,0.0,
213,40091,McIntosh County,OK,0,1.0,0.0,
214,40093,Major County,OK,0,1.0,0.0,
215,40095,Marshall County,OK,0,1.0,0.0,
216,40097,Mayes County,OK,0,1.0,0.0,
217,40099,Murray County,OK,0,1.0,0.0,
218,40101,Muskogee County,OK,0,1.0,0.0,
219,40103,Noble County,OK,0,1.0,0.0,
220,40105,Nowata County,OK,0,1.0,0.0,
221,40107,Okfuskee County,OK,0,1.0,0.0,
222,40109,Oklahoma County,OK,0,1.0,0.0,
223,40111,Okmulgee County,OK,0,1.0,0.0,
224,40113,Osage County,OK,0,1.0,0.0,
225,40115,Ottawa County,OK,0,1.0,0.0,
226,40117,Pawnee County,OK,0,1.0,0.0,
227,40119,Payne County,OK,0,1.0,0.0,
228,40121,Pittsburg County,OK,0,1.0,0.0,
229,40123,Pontotoc County,OK,0,1.0,0.0,
230,40125,Pottawatomie County,OK,0,1.0,0.0,
231,40127,Pushmataha County,OK,0,1.0,0.0,
232,40129,Roger Mills County,OK,0,1.0,19.0,Datasets/merged_tp_precip_wind_fmc_40129_Roger Mills County.csv
233,40131,Rogers County,OK,0,1.0,0.0,
234,40133,Seminole County,OK,0,1.0,0.0,
235,40135,Sequoyah County,OK,0,1.0,0.0,
236,40137,Stephens County,OK,0,1.0,0.0,
237,40139,Texas County,OK,0,1.0,0.0,
238,40141,Tillman County,OK,0,1.0,0.0,
239,40143,Tulsa County,OK,0,1.0,0.0,
240,40145,Wagoner County,OK,0,1.0,0.0,
241,40147,Washington County,OK,0,1.0,0.0,
242,40149,Washita County,OK,0,1.0,0.0,
243,40151,Woods County,OK,0,1.0,0.0,
244,40153,Woodward County,OK,0,1.0,0.0,
245,41000,OREGON,,0,1.0,0.0,
246,41001,Baker County,OR,0,1.0,1653.0,Datasets/merged_tp_precip_wind_fmc_41001_Baker County.csv
247,41003,Benton County,OR,0,1.0,0.0,
248,41005,Clackamas County,OR,0,1.0,0.0,
249,41007,Clatsop County,OR,0,1.0,0.0,
250,41009,Columbia County,OR,0,1.0,0.0,
251,41011,Coos County,OR,0,1.0,0.0,
252,41013,Crook County,OR,0,1.0,0.0,
253,41015,Curry County,OR,0,1.0,0.0,
254,41017,Deschutes County,OR,0,1.0,3052.0,Datasets/merged_tp_precip_wind_fmc_41017_Deschutes County.csv
255,41019,Douglas County,OR,0,1.0,6787.0,Datasets/merged_tp_precip_wind_fmc_41019_Douglas County.csv
256,41021,Gilliam County,OR,0,1.0,0.0,
257,41023,Grant County,OR,0,1.0,4203.0,Datasets/merged_tp_precip_wind_fmc_41023_Grant County.csv
258,41025,Harney County,OR,0,1.0,2822.0,Datasets/merged_tp_precip_wind_fmc_41025_Harney County.csv
259,41027,Hood River County,OR,0,1.0,0.0,
260,41029,Jackson County,OR,0,1.0,2852.0,Datasets/merged_tp_precip_wind_fmc_41029_Jackson County.csv
261,41031,Jefferson County,OR,0,1.0,0.0,
262,41033,Josephine County,OR,0,1.0,3430.0,Datasets/merged_tp_precip_wind_fmc_41033_Josephine County.csv
263,41035,Klamath County,OR,0,1.0,2376.0,Datasets/merged_tp_precip_wind_fmc_41035_Klamath County.csv
264,41037,Lake County,OR,0,1.0,3602.0,Datasets/merged_tp_precip_wind_fmc_41037_Lake County.csv
265,41039,Lane County,OR,0,1.0,3341.0,Datasets/merged_tp_precip_wind_fmc_41039_Lane County.csv
266,41041,Lincoln County,OR,0,1.0,0.0,
267,41043,Linn County,OR,0,1.0,0.0,
268,41045,Malheur County,OR,0,1.0,477.0,Datasets/merged_tp_precip_wind_fmc_41045_Malheur County.csv
269,41047,Marion County,OR,0,1.0,0.0,
270,41049,Morrow County,OR,0,1.0,0.0,
271,41051,Multnomah County,OR,0,1.0,0.0,
272,41053,Polk County,OR,0,1.0,0.0,
273,41055,Sherman County,OR,0,1.0,0.0,
274,41057,Tillamook County,OR,0,1.0,0.0,
275,41059,Umatilla County,OR,0,1.0,0.0,
276,41061,Union County,OR,0,1.0,0.0,
277,41063,Wallowa County,OR,0,1.0,490.0,Datasets/merged_tp_precip_wind_fmc_41063_Wallowa County.csv
278,41065,Wasco County,OR,0,1.0,0.0,
279,41067,Washington County,OR,0,1.0,0.0,
280,41069,Wheeler County,OR,0,1.0,0.0,
281,41071,Yamhill County,OR,0,1.0,0.0,
282,42000,PENNSYLVANIA,,0,1.0,0.0,
283,42001,Adams County,PA,0,1.0,0.0,
284,42003,Allegheny County,PA,0,1.0,0.0,
285,42005,Armstrong County,PA,0,1.0,0.0,
286,42007,Beaver County,PA,0,1.0,0.0,
287,42009,Bedford County,PA,0,1.0,0.0,
288,42011,Berks County,PA,0,1.0,0.0,
289,42013,Blair County,PA,0,1.0,0.0,
290,42015,Bradford County,PA,0,1.0,0.0,
291,42017,Bucks County,PA,0,1.0,0.0,
292,42019,Butler County,PA,0,1.0,0.0,
293,42021,Cambria County,PA,0,1.0,0.0,
294,42023,Cameron County,PA,0,1.0,0.0,
295,42025,Carbon County,PA,0,1.0,0.0,
296,42027,Centre County,PA,0,1.0,0.0,
297,42029,Chester County,PA,0,1.0,0.0,
298,42031,Clarion County,PA,0,1.0,0.0,
299,42033,Clearfield County,PA,0,1.0,0.0,
300,42035,Clinton County,PA,0,1.0,0.0,
301,42037,Columbia County,PA,0,1.0,0.0,
302,42039,Crawford County,PA,0,1.0,0.0,
303,42041,Cumberland County,PA,0,1.0,0.0,
304,42043,Dauphin County,PA,0,1.0,0.0,
305,42045,Delaware County,PA,0,1.0,0.0,
306,42047,Elk County,PA,0,1.0,0.0,
307,42049,Erie County,PA,0,1.0,0.0,
308,42051,Fayette County,PA,0,1.0,0.0,
309,42053,Forest County,PA,0,1.0,0.0,
310,42055,Franklin County,PA,0,1.0,0.0,
311,42057,Fulton County,PA,0,1.0,0.0,
312,42059,Greene County,PA,0,1.0,0.0,
313,42061,Huntingdon County,PA,0,1.0,0.0,
314,42063,Indiana County,PA,0,1.0,0.0,
315,42065,Jefferson County,PA,0,1.0,0.0,
316,42067,Juniata County,PA,0,1.0,0.0,
317,42069,Lackawanna County,PA,0,1.0,0.0,
318,42071,Lancaster County,PA,0,1.0,0.0,
319,42073,Lawrence County,PA,0,1.0,0.0,
320,42075,Lebanon County,PA,0,1.0,0.0,
321,42077,Lehigh County,PA,0,1.0,0.0,
322,42079,Luzerne County,PA,0,1.0,0.0,
323,42081,Lycoming County,PA,0,1.0,0.0,
324,42083,McKean County,PA,0,1.0,0.0,
325,42085,Mercer County,PA,0,1.0,0.0,
326,42087,Mifflin County,PA,0,1.0,0.0,
327,42089,Monroe County,PA,0,1.0,0.0,
328,42091,Montgomery County,PA,0,1.0,0.0,
329,42093,Montour County,PA,0,1.0,0.0,
330,42095,Northampton County,PA,0,1.0,0.0,
331,42097,Northumberland County,PA,0,1.0,0.0,
332,42099,Perry County,PA,0,1.0,0.0,
333,42101,Philadelphia County,PA,0,1.0,0.0,
334,42103,Pike County,PA,0,1.0,0.0,
335,42105,Potter County,PA,0,1.0,0.0,
336,42107,Schuylkill County,PA,0,1.0,0.0,
337,42109,Snyder County,PA,0,1.0,0.0,
338,42111,Somerset County,PA,0,1.0,0.0,
339,42113,Sullivan County,PA,0,1.0,0.0,
340,42115,Susquehanna County,PA,0,1.0,0.0,
341,42117,Tioga County,PA,0,1.0,0.0,
342,42119,Union County,PA,0,1.0,0.0,
343,42121,Venango County,PA,0,1.0,0.0,
344,42123,Warren County,PA,0,1.0,0.0,
345,42125,Washington County,PA,0,1.0,0.0,
346,42127,Wayne County,PA,0,1.0,0.0,
347,42129,Westmoreland County,PA,0,1.0,0.0,
348,42131,Wyoming County,PA,0,1.0,0.0,
349,42133,York County,PA,0,1.0,0.0,
350,44000,RHODE ISLAND,,0,1.0,0.0,
351,44001,Bristol County,RI,0,1.0,0.0,
352,44003,Kent County,RI,0,1.0,0.0,
353,44005,Newport County,RI,0,1.0,0.0,
354,44007,Providence County,RI,0,1.0,0.0,
355,44009,Washington County,RI,0,1.0,0.0,
356,45000,SOUTH CAROLINA,,0,1.0,0.0,
357,45001,Abbeville County,SC,0,1.0,0.0,
358,45003,Aiken County,SC,0,1.0,0.0,
359,45005,Allendale County,SC,0,1.0,0.0,
360,45007,Anderson County,SC,0,1.0,0.0,
361,45009,Bamberg County,SC,0,1.0,0.0,
362,45011,Barnwell County,SC,0,1.0,0.0,
363,45013,Beaufort County,SC,0,1.0,0.0,
364,45015,Berkeley County,SC,0,1.0,0.0,
365,45017,Calhoun County,SC,0,1.0,0.0,
366,45019,Charleston County,SC,0,1.0,0.0,
367,45021,Cherokee County,SC,0,1.0,0.0,
368,45023,Chester County,SC,0,1.0,0.0,
369,45025,Chesterfield County,SC,0,1.0,0.0,
370,45027,Clarendon County,SC,0,1.0,0.0,
371,45029,Colleton County,SC,0,1.0,0.0,
372,45031,Darlington County,SC,0,1.0,0.0,
373,45033,Dillon County,SC,0,1.0,0.0,
374,45035,Dorchester County,SC,0,1.0,0.0,
375,45037,Edgefield County,SC,0,1.0,0.0,
376,45039,Fairfield County,SC,0,1.0,0.0,
377,45041,Florence County,SC,0,1.0,0.0,
378,45043,Georgetown County,SC,0,1.0,0.0,
379,45045,Greenville County,SC,0,1.0,0.0,
380,45047,Greenwood County,SC,0,1.0,0.0,
381,45049,Hampton County,SC,0,1.0,0.0,
382,45051,Horry County,SC,0,1.0,0.0,
