FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
16044,0.1,A,40.614211,-122.439531,6,19990722,19990722,6089.0,19990722,350,133,244,0,2.3005373,0.0
16045,4.4,A,40.88305556,-121.39611111,6,20090801,20090802,6089.0,20090801,394,217,306,0,2.124246,129.0
16046,0.1,A,40.85222222,-122.51833333,6,20060807,20060807,6089.0,20060807,394,217,306,0,3.5356598,55.5
16047,0.5,B,41.12988,-121.4761,6,19990822,19990822,6089.0,19990822,411,261,339,0,1.9332836,0.0
16048,1.8,B,40.82777778,-122.24972222,6,20080522,20080523,6089.0,20080522,394,217,306,0,6.863663000000002,66.5
16049,0.3,B,40.481311,-122.416869,6,20040625,20040625,6089.0,20040625,356,172,267,0,3.0442433,136.0
16050,3.0,B,40.498519,-122.229319,6,19990616,19990616,6089.0,19990616,350,161,256,0,3.8745987,0.0
16051,0.1,A,40.831589,-121.904669,6,19991130,19991201,6089.0,19991130,117,56,89,64,6.270652,0.0
16052,5.0,B,40.480889,-122.473439,6,19990617,19990617,6089.0,19990617,350,161,256,0,2.6812785,0.0
16053,3.5,B,40.96694444,-122.00222222,6,20080622,20080622,6089.0,20080622,394,217,306,0,1.9058897,74.0
16054,5.0,B,40.49935,-122.03955,6,20010519,20010519,6089.0,20010519,356,228,294,0,3.192886,0.0
16055,1.0,B,40.497081,-122.360719,6,19990916,19990916,6089.0,19990916,333,144,239,0,0.6438193,0.0
16056,0.8999999999999999,A,40.672981,-122.250481,6,20040825,20040825,6089.0,20040825,300,161,233,0,3.5938063,91.0
16057,4700.1,A,40.62638889,-121.62777778,6,20080622,20080622,6089.0,20080622,394,217,306,0,1.9058897,74.0
16058,9356.0,G,40.68333333,-121.46666667,6,20090801,20090812,6089.0,20090801,394,217,306,0,2.124246,129.0
16059,0.68,B,40.81416667,-122.32055556,6,20080714,20080714,6089.0,20080714,394,217,306,0,1.6124572,63.5
16060,2.1,B,40.52495,-122.476319,6,20040617,20040617,6089.0,20040617,339,194,267,0,0.6007556,136.0
16061,144.0,D,40.570914,-121.963728,6,20060821,20060821,6089.0,20060821,394,217,306,0,2.8883955,55.5
16062,0.1,A,40.497869,-122.342561,6,20030323,20030323,6089.0,20030323,178,72,128,3,1.133174,86.0
