FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
13800,0.1,A,34.18527778,-117.14527778,6,20091023,20091023,6071.0,20091023,439,322,383,0,1.6630745999999998,0
13801,0.1,A,34.8208,-117.0294,6,20080810,20080810,6071.0,20080810,439,322,383,0,3.0156934,0
13802,0.1,A,34.24611111,-116.84,6,20080908,20080908,6071.0,20080908,439,322,383,0,2.2989843,0
13803,0.1,A,34.107644,-117.204383,6,20071027,20071027,6071.0,20071027,439,322,383,0,1.5620476,0
13804,0.1,A,34.35833333,-117.6375,6,20071028,20071028,6071.0,20071028,439,322,383,0,1.1344108999999998,0
13805,0.1,A,34.8144,-116.9089,6,20070814,20070814,6071.0,20070814,439,322,383,0,2.2286572,0
13806,250.0,D,34.22666667,-117.41027778,6,20071022,20071023,6071.0,20071022,439,322,383,0,7.2638125,0
13807,0.1,A,35.4942,-115.3083,6,20080905,20080905,6071.0,20080905,439,322,383,0,1.1501832,0
13808,0.25,A,34.27166667,-117.29138889,6,20080907,20080908,6071.0,20080907,439,322,383,0,2.0725136,0
13809,0.25,A,34.17166667,-117.12805556,6,20071028,20071028,6071.0,20071028,439,322,383,0,1.1344108999999998,0
13810,5.0,B,34.18055556,-117.27138889,6,20091028,20091028,6071.0,20091028,439,322,383,0,6.954918400000001,0
13811,0.1,A,35.2086,-115.3469,6,20090904,20090904,6071.0,20090904,439,322,383,0,3.1100678,0
13812,5.0,B,34.16972222,-117.34972222,6,20070527,20070527,6071.0,20070527,439,322,383,0,2.4882393,0
13813,0.1,A,34.30333333,-116.8225,6,20080602,20080602,6071.0,20080602,439,322,383,0,4.642469999999999,0
13814,0.01,A,34.18916667,-116.71694444,6,20090730,20090730,6071.0,20090730,439,322,383,0,3.3234105000000005,0
13815,1.0,B,34.09888889,-116.84333333,6,20080603,20080603,6071.0,20080603,439,322,383,0,4.0007987,0
13816,0.1,A,35.4039,-115.7869,6,20070708,20070708,6071.0,20070708,439,322,383,0,2.8855515,0
13817,0.1,A,34.09425,-116.511108,6,20070622,20070622,6071.0,20070622,439,322,383,0,2.0615594,0
13818,0.1,A,34.109536,-117.137469,6,20071217,20071217,6071.0,20071217,439,322,383,0,0.9604724,0
13819,20.0,C,34.12805556,-117.17972222,6,20090607,20090607,6071.0,20090607,439,322,383,0,3.5753174,0
13820,0.1,A,34.29055556,-116.81388889,6,20090610,20090610,6071.0,20090610,439,322,383,0,4.2135234000000015,0
13821,1.0,B,34.29166667,-117.23,6,20090605,20090606,6071.0,20090605,439,322,383,0,4.6295347,0
13822,0.05,A,34.24916667,-117.26916667,6,20070708,20070708,6071.0,20070708,439,322,383,0,2.8855515,0
13823,0.2,A,34.24027778,-117.30305556,6,20090604,20090604,6071.0,20090604,439,322,383,0,3.4495537000000005,0
13824,356.0,E,34.08014,-116.43719,6,20080607,20080610,6071.0,20080607,439,322,383,0,3.2207632,0
13825,0.1,A,34.2125,-117.515,6,20090604,20090604,6071.0,20090604,439,322,383,0,3.4495537000000005,0
13826,0.1,A,34.41388889,-118.59027778,6,20070620,20070620,6071.0,20070620,439,322,383,0,3.13089,0
13827,0.5,B,34.18666667,-117.62388889,6,20090603,20090603,6071.0,20090603,439,322,383,0,3.4324708,0
13828,0.1,A,34.21555556,-117.63555556,6,20090604,20090606,6071.0,20090604,439,322,383,0,3.4495537000000005,0
13829,0.1,A,34.30444444,-117.45777778,6,20070906,20070906,6071.0,20070906,439,322,383,0,1.0192109,0
13830,0.1,A,34.118258,-117.172558,6,20071224,20071224,6071.0,20071224,439,322,383,0,3.6677637,0
13831,0.1,A,34.24388889,-117.42805556,6,20090728,20090728,6071.0,20090728,439,322,383,0,3.7561884,0
13832,10.0,C,34.17694444,-117.145,6,20080518,20080518,6071.0,20080518,439,322,383,0,1.314878,0
13833,0.3,A,34.24305556,-116.77777778,6,20090725,20090725,6071.0,20090725,439,322,383,0,2.2740762,0
13834,0.1,A,34.13472222,-116.98333333,6,20080519,20080519,6071.0,20080519,439,322,383,0,3.0937696,0
13835,0.1,A,34.2425,-117.42638889,6,20090725,20090725,6071.0,20090725,439,322,383,0,2.2740762,0
13836,0.01,A,34.25916667,-117.17638889,6,20080520,20080520,6071.0,20080520,439,322,383,0,5.5545697,0
13837,0.1,A,34.1156,-117.177094,6,20071227,20071227,6071.0,20071227,439,322,383,0,5.527432,0
13838,0.1,A,34.12666667,-116.88333333,6,20090725,20090725,6071.0,20090725,439,322,383,0,2.2740762,0
13839,0.1,A,34.42277778,-117.6125,6,20080528,20080528,6071.0,20080528,439,322,383,0,3.964268,0
